portfolio,2p_expected_return, 2p_sharpe_ratio, 2p_volatility,4p_expected_return, 4p_sharpe_ratio, 4p_volatility,maxS_expected_return, maxS_sharpe_ratio, maxS_volatility,minV_expected_return, minV_sharpe_ratio, minV_volatility
IE00BFRTDB69_IE00B1S74Q32_IE00B9M1BB17,0.0197184542479,-0.0140772876048,0.0200000000014IE00BFRTDB69_IE00B1S74Q32_IE00B9M1BB17,0.0278008307157,0.230609706474,0.0338269834125IE00BFRTDB69_IE00B1S74Q32_IE00B9M1BB17,0.0277919002995,0.230455093561,0.0338109268019IE00BFRTDB69_IE00B1S74Q32_IE00B9M1BB17,0.0245539299789,0.160328762488,0.0284036994253
GB00BD3RZ582_GB00B5B71Q71_IE00B9M1BB17,0.019475083094,-0.0231137028859,0.0227102039265GB00BD3RZ582_GB00B5B71Q71_IE00B9M1BB17,0.0414651916246,0.536629790273,0.0400000000255GB00BD3RZ582_GB00B5B71Q71_IE00B9M1BB17,0.0883976429409,0.655180748057,0.104395074403GB00BD3RZ582_GB00B5B71Q71_IE00B9M1BB17,0.0835383818878,0.642862583636,0.0988366464391
IE00B523L313_GB00B45Q9038_IE00BFRTDB69,0.0213109498202,0.0466073407341,0.0281275395578IE00B523L313_GB00B45Q9038_IE00BFRTDB69,0.0409324775231,0.523311742163,0.0400000149751IE00B523L313_GB00B45Q9038_IE00BFRTDB69,0.0683965064405,0.674251563103,0.0717781153044IE00B523L313_GB00B45Q9038_IE00BFRTDB69,0.0616320009959,0.624078366883,0.0667095723953
IE00B3X1NT05_IE00B50W2R13_IE00B9M1BB17,0.0307833666968,0.539168311545,0.0200000008641IE00B3X1NT05_IE00B50W2R13_IE00B9M1BB17,0.039878848344,0.536788891659,0.0370328981335IE00B3X1NT05_IE00B50W2R13_IE00B9M1BB17,0.039878848344,0.536788891659,0.0370328981335IE00B3X1NT05_IE00B50W2R13_IE00B9M1BB17,0.0430897146749,0.497854878686,0.0463784039554
GB00B5B71H80_GB00B4M89245_IE00B1S75374,0.0363171633894,0.285835213849,0.0570859103388GB00B5B71H80_GB00B4M89245_IE00B1S75374,0.036317170778,0.285835343266,0.057085910341GB00B5B71H80_GB00B4M89245_IE00B1S75374,0.0446737518408,0.356310277577,0.0692479375239GB00B5B71H80_GB00B4M89245_IE00B1S75374,0.0440210430807,0.352000024251,0.0682415949597
IE00B523L313_GB00B4M89245_IE00BDFB7639,0.0323141541442,0.615707707159,0.0200000000016IE00B523L313_GB00B4M89245_IE00BDFB7639,0.0479166129151,0.697914925881,0.0400000227533IE00B523L313_GB00B4M89245_IE00BDFB7639,0.0623881137899,0.699246390469,0.060619710545IE00B523L313_GB00B4M89245_IE00BDFB7639,0.0593874055029,0.665834368806,0.0591549600745
GB00B5B71H80_IE00BH65QH62_IE00BFRTDB69,0.0137578673998,-0.312106556846,0.0200000046884GB00B5B71H80_IE00BH65QH62_IE00BFRTDB69,0.0215701928948,0.0392548223599,0.0400000000111GB00B5B71H80_IE00BH65QH62_IE00BFRTDB69,0.026835179865,0.117041429072,0.0583996617194GB00B5B71H80_IE00BH65QH62_IE00BFRTDB69,0.0212134513475,0.0294152559101,0.0412524491109
IE00B50MZ724_IE00B50W2R13_IE00BH65QH62,0.0260283168542,0.301415842321,0.020000000026IE00B50MZ724_IE00B50W2R13_IE00BH65QH62,0.0364553129304,0.41138282324,0.040000000002IE00B50MZ724_IE00B50W2R13_IE00BH65QH62,0.042107122959,0.404509668513,0.054651655275IE00B50MZ724_IE00B50W2R13_IE00BH65QH62,0.0369958775929,0.341301091235,0.0497973139535
GB00BD3RZ368_GB00B45Q9038_IE00B1S74Q32,0.0434695087167,0.434071183162,0.0540683409245GB00BD3RZ368_GB00B45Q9038_IE00B1S74Q32,0.0434689585678,0.434061008823,0.054068340834GB00BD3RZ368_GB00B45Q9038_IE00B1S74Q32,0.0532237164101,0.505127617761,0.0657729160748GB00BD3RZ368_GB00B45Q9038_IE00B1S74Q32,0.0534044012255,0.504678711704,0.0661894398374
GB00B5B71H80_GB00B5B71Q71_IE00B1S74Q32,0.0453864872695,0.459300511648,0.0552720639878GB00B5B71H80_GB00B5B71Q71_IE00B1S74Q32,0.0453852597261,0.459278302023,0.0552720640497GB00B5B71H80_GB00B5B71Q71_IE00B1S74Q32,0.0835881096957,0.716820701154,0.0887085286367GB00B5B71H80_GB00B5B71Q71_IE00B1S74Q32,0.0757163616627,0.61802011303,0.0901529909593
IE00BDFB7639_IE00B1S74Q32_IE00B9M1BB17,0.0256129161097,0.280645805479,0.0200000000004IE00BDFB7639_IE00B1S74Q32_IE00B9M1BB17,0.0284512076305,0.308182361316,0.0274227492915IE00BDFB7639_IE00B1S74Q32_IE00B9M1BB17,0.0284512076305,0.308182361316,0.0274227492915IE00BDFB7639_IE00B1S74Q32_IE00B9M1BB17,0.0274076961734,0.292513886883,0.0253242546956
IE00B50MZ948_IE00BDFB7639_IE00B1S75374,0.0249088776367,0.24544368409,0.0200000161133IE00B50MZ948_IE00BDFB7639_IE00B1S75374,0.0284552843614,0.211382108978,0.0400000000109IE00B50MZ948_IE00BDFB7639_IE00B1S75374,0.0295741151687,0.186339195532,0.0513800391878IE00B50MZ948_IE00BDFB7639_IE00B1S75374,0.0299961096502,0.162617889843,0.0614699259705
